image_path,x_tl,y_tl,x_br,y_br,w,h,class
2015_00019.jpg,93,140,132,207,39,67,10
2015_00019.jpg,382,135,439,203,57,68,10
2015_00019.jpg,305,140,354,218,49,78,10
2015_00019.jpg,220,141,293,226,73,85,10
2015_00019.jpg,62,150,117,314,55,164,10
2015_00019.jpg,17,139,73,321,56,182,10
2015_00019.jpg,134,142,197,235,63,93,10
2015_00019.jpg,251,173,497,305,246,132,0
2015_00020.jpg,279,206,429,298,150,92,0
2015_00021.jpg,229,181,352,272,123,91,0
2015_00022.jpg,37,169,71,246,34,77,10
2015_00022.jpg,71,159,275,474,204,315,0
2015_00023.jpg,30,355,360,623,330,268,0
2015_00024.JPG,36,40,637,445,601,405,0
2015_00024.JPG,199,5,377,80,178,75,0
2015_00024.JPG,4,5,156,90,152,85,0
2015_00025.jpg,248,191,287,243,39,52,10
2015_00025.jpg,20,162,105,285,85,123,10
2015_00025.jpg,311,86,489,339,178,253,10
2015_00025.jpg,485,199,622,242,137,43,0
2015_00025.jpg,36,212,132,300,96,88,0
2015_00025.jpg,226,190,247,242,21,52,10
2015_00025.jpg,321,196,561,375,240,179,0
2015_00026.jpg,14,212,188,326,174,114,0
2015_00027.jpg,22,275,196,381,174,106,0
2015_00027.jpg,158,241,228,284,70,43,0
2015_00027.jpg,459,204,500,277,41,73,10
2015_00027.jpg,94,220,137,294,43,74,10
2015_00027.jpg,311,270,471,411,160,141,0
2015_00027.jpg,489,214,529,287,40,73,10
2015_00027.jpg,442,222,465,263,23,41,10
2015_00028.jpg,350,176,382,258,32,82,10
2015_00028.jpg,147,189,215,226,68,37,4
2015_00028.jpg,2,192,73,257,71,65,4
2015_00028.jpg,194,237,257,334,63,97,0
2015_00028.jpg,336,214,365,261,29,47,0
2015_00028.jpg,218,180,313,235,95,55,4
2015_00028.jpg,35,189,150,235,115,46,4
2015_00028.jpg,258,220,320,297,62,77,0
2015_00028.jpg,75,239,190,389,115,150,0
2015_00028.jpg,337,174,363,231,26,57,10
2015_00029.jpg,263,427,395,553,132,126,0
2015_00029.jpg,409,355,526,690,117,335,0
2015_00030.jpg,76,187,735,890,659,703,0
2015_00031.jpg,190,158,479,457,289,299,0
2015_00032.jpg,457,117,536,379,79,262,10
2015_00032.jpg,127,128,262,380,135,252,10
2015_00032.jpg,67,231,332,390,265,159,0
2015_00033.jpg,383,179,420,240,37,61,6
2015_00033.jpg,1,95,44,241,43,146,10
2015_00033.jpg,382,114,408,186,26,72,10
2015_00033.jpg,27,76,291,315,264,239,0
2015_00033.jpg,351,110,388,221,37,111,10
2015_00033.jpg,321,116,354,225,33,109,10
2015_00033.jpg,30,147,81,225,51,78,10
2015_00033.jpg,474,103,506,246,32,143,10
2015_00034.jpg,153,16,303,266,150,250,10
2015_00034.jpg,150,126,291,304,141,178,0
2015_00035.jpg,385,272,611,407,226,135,0
2015_00035.jpg,191,279,378,403,187,124,0
2015_00035.jpg,7,277,196,390,189,113,0
2015_00036.jpg,96,72,150,181,54,109,10
2015_00036.jpg,284,277,303,307,19,30,10
2015_00036.jpg,366,277,397,320,31,43,10
2015_00036.jpg,398,276,418,324,20,48,10
2015_00036.jpg,414,279,438,316,24,37,10
2015_00036.jpg,570,273,599,317,29,44,10
2015_00036.jpg,549,275,573,316,24,41,10
2015_00036.jpg,501,275,534,362,33,87,10
2015_00036.jpg,447,295,488,328,41,33,0
2015_00036.jpg,65,286,97,320,32,34,10
2015_00036.jpg,100,286,126,319,26,33,10
2015_00036.jpg,125,287,146,321,21,34,10
2015_00036.jpg,15,309,406,419,391,110,0
2015_00036.jpg,309,275,359,327,50,52,9
2015_00037.jpg,249,305,437,419,188,114,0
2015_00038.jpg,175,254,364,369,189,115,0
2015_00038.jpg,97,183,171,381,74,198,10
2015_00039.jpg,311,351,326,381,15,30,10
2015_00039.jpg,88,349,257,446,169,97,0
2015_00040.jpg,793,333,971,491,178,158,0
2015_00040.jpg,949,332,1598,1020,649,688,4
2015_00040.jpg,62,271,626,646,564,375,4
2015_00040.jpg,886,256,962,458,76,202,10
2015_00040.jpg,1372,237,1435,369,63,132,10
2015_00040.jpg,640,239,688,412,48,173,10
2015_00040.jpg,367,251,425,316,58,65,10
2015_00040.jpg,733,237,821,419,88,182,10
2015_00040.jpg,822,251,898,467,76,216,10
2015_00040.jpg,1513,241,1574,331,61,90,10
2015_00040.jpg,1026,232,1097,446,71,214,10
2015_00041.jpg,98,9,374,161,276,152,0
2015_00041.jpg,156,166,604,376,448,210,0
2015_00042.jpg,255,119,634,422,379,303,0
2015_00043.jpg,14,251,637,593,623,342,0
2015_00044.jpg,133,3,178,96,45,93,10
2015_00044.jpg,32,2,142,240,110,238,10
2015_00044.jpg,143,36,203,93,60,57,8
2015_00044.jpg,26,43,145,263,119,220,0
2015_00045.jpg,225,213,352,408,127,195,0
2015_00046.jpg,94,291,333,489,239,198,0
2015_00047.jpg,236,180,397,362,161,182,0
2015_00047.jpg,260,89,344,334,84,245,10
2015_00047.jpg,472,114,596,202,124,88,4
2015_00048.jpg,460,179,508,271,48,92,10
2015_00048.jpg,125,165,161,257,36,92,10
2015_00048.jpg,176,167,220,255,44,88,10
2015_00048.jpg,30,187,117,243,87,56,4
2015_00048.jpg,248,174,376,301,128,127,0
2015_00048.jpg,525,193,589,249,64,56,4
2015_00049.jpg,285,181,395,334,110,153,0
2015_00049.jpg,197,136,213,170,16,34,10
2015_00049.jpg,296,111,372,307,76,196,10
2015_00049.jpg,419,130,453,213,34,83,10
2015_00049.jpg,182,132,199,173,17,41,10
2015_00049.jpg,171,139,189,177,18,38,10
2015_00049.jpg,397,148,438,254,41,106,10
2015_00049.jpg,141,132,157,157,16,25,10
2015_00049.jpg,226,138,246,182,20,44,10
2015_00049.jpg,211,138,238,204,27,66,10
2015_00049.jpg,247,141,268,197,21,56,10
2015_00050.jpg,191,771,409,954,218,183,0
2015_00051.jpg,1,5,270,263,269,258,0
2015_00051.jpg,331,196,378,261,47,65,0
2015_00052.jpg,264,132,437,263,173,131,0
2015_00052.jpg,408,87,426,125,18,38,10
2015_00052.jpg,430,85,448,126,18,41,10
2015_00052.jpg,318,89,330,116,12,27,10
2015_00053.jpg,251,186,293,230,42,44,10
2015_00053.jpg,171,175,230,237,59,62,10
2015_00053.jpg,118,193,164,238,46,45,10
2015_00053.jpg,36,207,500,337,464,130,0
2015_00053.jpg,340,173,391,226,51,53,10
2015_00053.jpg,425,171,480,224,55,53,10
2015_00053.jpg,287,185,336,236,49,51,10
2015_00054.jpg,37,191,84,217,47,26,0
2015_00054.jpg,206,212,318,302,112,90,0
2015_00054.jpg,91,215,207,297,116,82,0
2015_00054.jpg,119,181,173,297,54,116,10
2015_00054.jpg,231,179,277,297,46,118,10
2015_00054.jpg,373,190,410,217,37,27,11
2015_00054.jpg,435,189,472,218,37,29,11
2015_00054.jpg,481,190,505,216,24,26,11
2015_00055.jpg,126,96,402,638,276,542,0
2015_00056.jpg,423,261,528,402,105,141,0
2015_00056.jpg,134,243,196,272,62,29,11
2015_00056.jpg,149,270,208,333,59,63,11
2015_00056.jpg,100,248,176,408,76,160,9
2015_00056.jpg,6,282,111,410,105,128,9
2015_00056.jpg,195,256,263,400,68,144,0
2015_00056.jpg,259,269,338,414,79,145,0
2015_00057.jpg,72,176,303,284,231,108,0
2015_00057.jpg,351,135,429,196,78,61,0
2015_00057.jpg,411,138,501,183,90,45,4
2015_00058.jpg,224,233,345,382,121,149,0
2015_00058.jpg,150,227,173,261,23,34,0
2015_00058.jpg,203,207,232,273,29,66,10
2015_00059.jpg,231,236,272,293,41,57,0
2015_00060.jpg,466,53,541,97,75,44,4
2015_00060.jpg,174,34,371,359,197,325,0
2015_00061.jpg,469,116,536,219,67,103,0
2015_00061.jpg,580,92,630,124,50,32,4
2015_00061.jpg,476,61,532,187,56,126,10
2015_00061.jpg,7,75,319,368,312,293,0
2015_00061.jpg,275,2,482,417,207,415,10
2015_00062.jpg,375,168,414,202,39,34,4
2015_00062.jpg,156,112,257,296,101,184,10
2015_00062.jpg,86,196,315,411,229,215,0
2015_00063.jpg,52,137,242,495,190,358,0
2015_00064.jpg,125,70,191,177,66,107,0
2015_00064.jpg,40,69,141,178,101,109,0
2015_00064.jpg,134,2,211,176,77,174,10
2015_00064.jpg,264,4,330,176,66,172,10
2015_00064.jpg,264,70,317,177,53,107,0
2015_00064.jpg,43,7,118,177,75,170,10
2015_00065.jpg,10,652,277,798,267,146,4
2015_00065.jpg,812,618,866,744,54,126,10
2015_00065.jpg,947,676,995,744,48,68,6
2015_00065.jpg,698,674,739,740,41,66,6
2015_00065.jpg,556,748,865,990,309,242,0
2015_00065.jpg,638,674,684,744,46,70,6
2015_00065.jpg,1005,768,1385,1017,380,249,0
2015_00066.jpg,390,197,483,253,93,56,11
2015_00066.jpg,443,183,544,303,101,120,0
2015_00066.jpg,198,190,279,242,81,52,11
2015_00066.jpg,140,230,257,400,117,170,11
2015_00067.jpg,166,252,464,462,298,210,0
2015_00068.jpg,505,163,638,293,133,130,0
2015_00068.jpg,72,193,137,267,65,74,0
2015_00069.jpg,131,246,237,398,106,152,0
2015_00069.jpg,390,229,466,358,76,129,0
2015_00069.jpg,289,233,325,267,36,34,0
2015_00070.jpg,621,262,823,745,202,483,10
2015_00070.jpg,619,432,827,725,208,293,0
2015_00071.jpg,23,307,157,417,134,110,0
2015_00072.jpg,271,120,354,297,83,177,0
2015_00072.jpg,257,57,350,258,93,201,10
2015_00072.jpg,105,56,241,191,136,135,4
2015_00072.jpg,393,60,462,116,69,56,4
2015_00073.jpg,136,161,300,475,164,314,10
2015_00073.jpg,309,160,416,463,107,303,10
2015_00073.jpg,2,156,36,250,34,94,10
2015_00073.jpg,24,159,55,252,31,93,10
2015_00073.jpg,62,168,84,252,22,84,10
2015_00073.jpg,251,192,278,224,27,32,0
2015_00073.jpg,41,199,65,251,24,52,0
2015_00073.jpg,156,256,347,488,191,232,0
2015_00074.jpg,471,213,771,634,300,421,0
2015_00074.jpg,205,345,370,540,165,195,8
2015_00074.jpg,400,358,476,493,76,135,6
2015_00074.jpg,228,253,371,419,143,166,10
2015_00074.jpg,401,256,498,429,97,173,10
2015_00075.jpg,72,123,628,499,556,376,0
2015_00076.jpg,555,257,588,319,33,62,10
2015_00076.jpg,356,262,429,354,73,92,10
2015_00076.jpg,2,289,126,351,124,62,0
2015_00076.jpg,195,283,253,323,58,40,0
2015_00076.jpg,340,290,464,380,124,90,0
2015_00076.jpg,526,286,621,338,95,52,0
2015_00077.jpg,135,481,237,624,102,143,10
2015_00077.jpg,550,457,613,582,63,125,10
2015_00077.jpg,635,450,706,575,71,125,10
2015_00077.jpg,678,438,729,522,51,84,10
2015_00077.jpg,732,439,777,507,45,68,10
2015_00077.jpg,829,477,867,523,38,46,0
2015_00077.jpg,786,473,813,525,27,52,0
2015_00077.jpg,889,451,936,500,47,49,0
2015_00077.jpg,964,459,1004,495,40,36,0
2015_00077.jpg,236,457,370,665,134,208,10
2015_00077.jpg,423,454,488,570,65,116,10
2015_00077.jpg,484,459,549,592,65,133,10
2015_00077.jpg,87,456,146,633,59,177,10
2015_00077.jpg,639,486,778,582,139,96,0
2015_00077.jpg,401,509,630,620,229,111,0
2015_00077.jpg,59,545,379,696,320,151,0
2015_00077.jpg,230,442,265,513,35,71,10
2015_00078.jpg,176,135,294,299,118,164,0
2015_00078.jpg,159,47,266,270,107,223,10
2015_00078.jpg,337,258,373,301,36,43,10
2015_00078.jpg,380,249,415,301,35,52,10
2015_00079.jpg,4,136,222,256,218,120,4
2015_00079.jpg,163,138,185,178,22,40,10
2015_00079.jpg,185,173,314,246,129,73,0
2015_00079.jpg,293,150,511,260,218,110,4
2015_00080.jpg,72,155,220,315,148,160,0
2015_00080.jpg,125,77,214,278,89,201,10
2015_00080.jpg,258,56,326,138,68,82,10
2015_00081.jpg,442,225,504,319,62,94,0
2015_00081.jpg,340,199,449,270,109,71,4
2015_00081.jpg,358,227,443,287,85,60,0
2015_00081.jpg,205,196,237,290,32,94,10
2015_00081.jpg,302,201,350,238,48,37,4
2015_00082.jpg,196,309,255,419,59,110,0
2015_00082.jpg,262,301,317,377,55,76,0
2015_00082.jpg,158,298,196,354,38,56,9
2015_00083.jpg,27,260,298,484,271,224,0
2015_00084.jpg,142,242,414,402,272,160,0
2015_00084.jpg,213,151,345,399,132,248,10
2015_00085.jpg,425,510,948,896,523,386,0
2015_00085.jpg,7,437,403,925,396,488,0
2015_00085.jpg,1202,504,1598,686,396,182,4
2015_00085.jpg,1122,464,1231,659,109,195,10
2015_00085.jpg,862,528,1112,659,250,131,4
2015_00086.jpg,46,307,376,505,330,198,0
2015_00087.jpg,440,264,538,439,98,175,10
2015_00087.jpg,409,329,538,493,129,164,0
2015_00088.jpg,32,513,278,765,246,252,0
2015_00088.jpg,562,398,652,565,90,167,0
2015_00088.jpg,266,411,445,651,179,240,0
2015_00089.jpg,566,256,633,303,67,47,0
2015_00089.jpg,2,9,275,422,273,413,0
2015_00089.jpg,457,262,506,296,49,34,0
2015_00089.jpg,505,260,574,299,69,39,0
2015_00090.jpg,259,264,341,401,82,137,0
2015_00090.jpg,214,235,233,278,19,43,0
2015_00091.jpg,91,309,152,402,61,93,0
2015_00092.jpg,298,217,386,334,88,117,0
2015_00092.jpg,211,174,275,207,64,33,4
2015_00092.jpg,134,174,164,203,30,29,10
2015_00093.jpg,414,216,485,289,71,73,0
2015_00093.jpg,383,212,416,249,33,37,0
2015_00093.jpg,290,195,312,249,22,54,10
2015_00093.jpg,400,186,424,242,24,56,10
2015_00093.jpg,497,225,552,367,55,142,0
2015_00093.jpg,430,184,455,229,25,45,10
2015_00093.jpg,478,178,511,261,33,83,10
2015_00093.jpg,260,222,279,249,19,27,6
2015_00093.jpg,281,222,298,253,17,31,6
2015_00093.jpg,159,213,268,312,109,99,0
2015_00093.jpg,358,188,380,246,22,58,10
2015_00093.jpg,309,194,330,246,21,52,10
2015_00093.jpg,332,200,356,253,24,53,10
2015_00094.jpg,143,426,450,638,307,212,0
2015_00095.jpg,6,146,732,697,726,551,0
2015_00096.jpg,142,113,465,398,323,285,0
2015_00096.jpg,405,187,613,358,208,171,0
2015_00097.jpg,28,470,200,594,172,124,0
2015_00097.jpg,208,473,404,606,196,133,0
2015_00098.jpg,1406,418,1516,698,110,280,10
2015_00098.jpg,222,505,731,851,509,346,0
2015_00099.jpg,7,304,204,423,197,119,0
2015_00100.jpg,487,298,527,407,40,109,10
2015_00100.jpg,275,360,401,570,126,210,0
2015_00101.jpg,381,217,463,277,82,60,0
2015_00102.jpg,108,220,327,496,219,276,0
2015_00103.jpg,251,228,330,404,79,176,10
2015_00103.jpg,251,289,334,419,83,130,0
2015_00103.jpg,347,236,372,291,25,55,10
2015_00103.jpg,362,232,489,295,127,63,4
2015_00103.jpg,209,235,240,294,31,59,10
2015_00104.jpg,725,496,799,580,74,84,8
2015_00104.jpg,612,424,666,471,54,47,4
2015_00104.jpg,750,415,918,517,168,102,4
2015_00104.jpg,141,510,304,686,163,176,0
2015_00104.jpg,311,411,360,493,49,82,10
2015_00105.jpg,550,361,597,458,47,97,10
2015_00105.jpg,231,372,248,424,17,52,10
2015_00105.jpg,115,364,192,426,77,62,4
2015_00105.jpg,244,376,281,411,37,35,4
2015_00105.jpg,431,364,456,414,25,50,10
2015_00105.jpg,184,370,214,402,30,32,4
2015_00105.jpg,346,363,375,430,29,67,10
2015_00105.jpg,321,368,342,408,21,40,10
2015_00105.jpg,136,474,193,556,57,82,8
2015_00105.jpg,197,520,593,798,396,278,0
2015_00105.jpg,3,381,88,433,85,52,4
2015_00105.jpg,122,387,180,519,58,132,10
2015_00105.jpg,76,375,125,417,49,42,4
2015_00106.jpg,354,338,482,442,128,104,0
2015_00107.jpg,35,282,601,602,566,320,0
2015_00108.jpg,377,72,480,231,103,159,10
2015_00108.jpg,370,140,513,284,143,144,0
2015_00109.jpg,286,368,324,441,38,73,8
2015_00109.jpg,120,267,189,433,69,166,10
2015_00109.jpg,116,321,198,457,82,136,0
2015_00110.jpg,462,524,666,763,204,239,0
2015_00110.jpg,674,519,899,731,225,212,0
2015_00111.jpg,272,284,311,346,39,62,0
2015_00111.jpg,31,305,111,454,80,149,0
2015_00112.jpg,237,284,283,317,46,33,0
2015_00112.jpg,402,265,456,337,54,72,0
2015_00113.jpg,356,321,478,539,122,218,0
2015_00113.jpg,303,302,338,348,35,46,0
2015_00114.jpg,10,199,207,416,197,217,4
2015_00114.jpg,216,236,285,341,69,105,0
2015_00114.jpg,280,212,294,241,14,29,10
2015_00115.jpg,540,253,612,352,72,99,0
2015_00115.jpg,341,203,401,357,60,154,10
2015_00115.jpg,419,205,470,342,51,137,10
2015_00115.jpg,3,229,171,426,168,197,10
2015_00115.jpg,167,227,332,430,165,203,10
2015_00116.jpg,245,304,265,341,20,37,2
2015_00116.jpg,207,318,303,417,96,99,11
2015_00116.jpg,453,193,535,340,82,147,9
2015_00116.jpg,465,233,597,417,132,184,0
2015_00116.jpg,355,281,401,371,46,90,8
2015_00116.jpg,303,236,363,365,60,129,10
2015_00117.jpg,8,45,402,296,394,251,0
2015_00117.jpg,239,251,600,424,361,173,10
2015_00118.jpg,134,262,274,469,140,207,0
2015_00118.jpg,39,245,65,287,26,42,0
2015_00118.jpg,80,227,155,253,75,26,4
2015_00118.jpg,146,227,202,263,56,36,4
2015_00118.jpg,244,225,281,253,37,28,4
2015_00118.jpg,267,226,327,263,60,37,4
2015_00119.jpg,452,264,513,392,61,128,0
2015_00120.jpg,74,91,183,156,109,65,4
2015_00120.jpg,163,42,327,371,164,329,10
2015_00120.jpg,306,92,352,120,46,28,4
2015_00120.jpg,389,83,508,165,119,82,4
2015_00120.jpg,74,150,429,391,355,241,0
2015_00121.jpg,67,199,286,346,219,147,0
2015_00121.jpg,81,117,227,315,146,198,10
2015_00122.jpg,132,262,162,306,30,44,9
2015_00122.jpg,240,280,302,391,62,111,0
2015_00123.jpg,394,225,556,343,162,118,0
2015_00123.jpg,549,183,639,294,90,111,4
2015_00123.jpg,101,181,127,238,26,57,10
2015_00123.jpg,506,190,581,259,75,69,4
2015_00123.jpg,72,188,103,258,31,70,10
2015_00123.jpg,227,197,326,298,99,101,4
2015_00123.jpg,47,214,219,336,172,122,9
2015_00123.jpg,264,171,348,257,84,86,4
2015_00123.jpg,100,181,255,296,155,115,4
2015_00124.jpg,45,33,318,432,273,399,0
2015_00124.jpg,5,146,174,355,169,209,4
2015_00125.jpg,88,207,155,352,67,145,10
2015_00125.jpg,123,271,263,366,140,95,0
2015_00125.jpg,396,247,636,411,240,164,4
2015_00125.jpg,344,227,434,423,90,196,10
2015_00125.jpg,222,218,274,370,52,152,10
2015_00125.jpg,39,206,78,345,39,139,10
2015_00125.jpg,4,209,46,328,42,119,10
2015_00125.jpg,69,204,108,332,39,128,10
2015_00125.jpg,225,218,311,399,86,181,10
2015_00126.jpg,809,416,1019,669,210,253,0
2015_00127.jpg,335,214,436,271,101,57,11
2015_00127.jpg,133,85,305,393,172,308,0
2015_00127.jpg,431,213,504,274,73,61,11
2015_00128.jpg,311,87,427,208,116,121,0
2015_00129.jpg,555,205,636,286,81,81,4
2015_00129.jpg,409,217,484,347,75,130,10
2015_00129.jpg,415,241,486,381,71,140,0
2015_00130.jpg,37,81,489,329,452,248,0
2015_00131.jpg,6,219,637,360,631,141,0
2015_00131.jpg,394,152,461,301,67,149,10
2015_00132.jpg,197,212,259,259,62,47,0
2015_00132.jpg,339,224,413,282,74,58,0
2015_00133.jpg,129,229,171,262,42,33,4
2015_00133.jpg,177,232,271,387,94,155,0
2015_00133.jpg,182,167,259,378,77,211,10
2015_00133.jpg,343,214,368,283,25,69,10
2015_00133.jpg,322,210,346,285,24,75,10
2015_00134.jpg,173,159,449,492,276,333,0
2015_00135.jpg,512,541,799,727,287,186,0
2015_00135.jpg,271,580,404,742,133,162,0
2015_00136.jpg,240,298,291,495,51,197,10
2015_00136.jpg,591,18,772,635,181,617,10
2015_00136.jpg,161,366,366,510,205,144,0
2015_00136.jpg,514,236,856,634,342,398,0
2015_00137.jpg,170,225,281,339,111,114,0
2015_00137.jpg,203,157,267,321,64,164,10
2015_00138.jpg,192,335,245,416,53,81,10
2015_00138.jpg,184,355,248,420,64,65,0
2015_00138.jpg,256,317,303,417,47,100,10
2015_00138.jpg,297,306,332,437,35,131,10
2015_00139.jpg,4,126,242,331,238,205,0
2015_00140.jpg,222,102,278,243,56,141,10
2015_00140.jpg,183,175,322,289,139,114,0
2015_00141.jpg,38,33,361,494,323,461,0
2015_00142.jpg,464,225,526,324,62,99,0
2015_00142.jpg,268,232,387,364,119,132,0
2015_00142.jpg,471,177,531,299,60,122,10
2015_00142.jpg,296,147,383,330,87,183,10
2015_00143.jpg,345,304,450,410,105,106,0
2015_00144.jpg,144,116,349,306,205,190,0
2015_00144.jpg,178,33,322,285,144,252,10
2015_00145.jpg,217,204,350,289,133,85,0
2015_00145.jpg,251,171,320,283,69,112,10
2015_00146.jpg,84,40,199,167,115,127,0
2015_00146.jpg,107,5,198,154,91,149,10
2015_00147.jpg,431,156,499,324,68,168,10
2015_00147.jpg,127,183,259,272,132,89,4
2015_00147.jpg,351,171,380,191,29,20,4
2015_00147.jpg,261,224,329,330,68,106,0
2015_00147.jpg,428,225,494,331,66,106,0
2015_00147.jpg,267,164,327,320,60,156,10
2015_00148.jpg,813,400,2372,1784,1559,1384,0
2015_00149.jpg,101,35,176,187,75,152,10
2015_00149.jpg,85,82,198,218,113,136,0
2015_00150.jpg,406,277,590,426,184,149,0
2015_00150.jpg,61,273,381,482,320,209,0
2015_00151.jpg,329,253,726,493,397,240,0
2015_00152.jpg,3,88,263,284,260,196,0
2015_00152.jpg,288,160,465,464,177,304,0
2015_00152.jpg,283,2,450,344,167,342,10
2015_00153.jpg,154,27,509,471,355,444,0
2015_00154.jpg,49,9,298,488,249,479,10
2015_00154.jpg,14,193,410,475,396,282,0
2015_00155.jpg,193,42,498,305,305,263,3
2015_00155.jpg,188,207,308,299,120,92,0
2015_00155.jpg,111,209,210,274,99,65,0
2015_00155.jpg,223,134,279,311,56,177,10
2015_00155.jpg,348,220,499,330,151,110,0
2015_00156.jpg,181,97,331,231,150,134,10
2015_00156.jpg,219,166,282,268,63,102,0
2015_00157.jpg,18,345,231,500,213,155,0
2015_00158.jpg,87,363,446,614,359,251,0
2015_00159.jpg,231,242,410,458,179,216,0
2015_00159.jpg,361,159,581,349,220,190,4
2015_00159.jpg,252,288,298,345,46,57,4
2015_00159.jpg,231,307,260,347,29,40,4
2015_00159.jpg,286,224,383,343,97,119,4
2015_00159.jpg,165,284,222,390,57,106,10
2015_00160.jpg,125,39,414,373,289,334,10
2015_00160.jpg,75,150,471,370,396,220,0
2015_00161.jpg,355,127,532,404,177,277,0
2015_00162.jpg,120,200,459,381,339,181,0
2015_00162.jpg,93,145,220,215,127,70,0
2015_00162.jpg,239,50,414,375,175,325,10
2015_00163.jpg,160,42,189,105,29,63,10
2015_00163.jpg,398,6,462,174,64,168,10
2015_00163.jpg,237,18,280,152,43,134,10
2015_00163.jpg,408,30,545,278,137,248,0
2015_00163.jpg,133,38,162,126,29,88,10
2015_00163.jpg,277,36,311,130,34,94,10
2015_00163.jpg,196,39,227,110,31,71,10
2015_00163.jpg,320,46,342,76,22,30,10
2015_00163.jpg,89,55,335,273,246,218,0
2015_00163.jpg,5,5,118,285,113,280,10
2015_00164.jpg,337,27,458,348,121,321,10
2015_00164.jpg,247,139,560,368,313,229,0
2015_00165.jpg,33,182,150,268,117,86,0
2015_00165.jpg,155,235,296,318,141,83,0
2015_00166.jpg,624,302,773,532,149,230,10
2015_00166.jpg,547,401,838,586,291,185,0
2015_00167.jpg,57,343,137,511,80,168,0
2015_00167.jpg,383,423,481,552,98,129,0
2015_00167.jpg,154,377,248,525,94,148,0
2015_00168.jpg,150,236,289,470,139,234,10
2015_00168.jpg,130,317,324,477,194,160,0
2015_00169.jpg,439,260,638,409,199,149,0
2015_00169.jpg,244,250,451,473,207,223,0
2015_00169.jpg,117,242,258,451,141,209,0
2015_00170.jpg,151,262,395,362,244,100,0
2015_00170.jpg,293,256,628,415,335,159,0
2015_00171.jpg,282,414,407,594,125,180,0
2015_00172.jpg,276,177,529,394,253,217,0
2015_00172.jpg,676,213,851,445,175,232,10
2015_00173.jpg,93,105,306,485,213,380,10
2015_00173.jpg,77,233,223,555,146,322,0
2015_00174.jpg,422,166,602,359,180,193,0
2015_00174.jpg,297,162,465,293,168,131,0
2015_00175.jpg,95,322,190,478,95,156,0
2015_00176.jpg,95,254,186,399,91,145,0
2015_00177.jpg,223,207,279,244,56,37,4
2015_00177.jpg,7,231,137,349,130,118,4
2015_00177.jpg,153,216,225,267,72,51,4
2015_00177.jpg,314,258,430,434,116,176,0
2015_00177.jpg,394,212,457,263,63,51,4
2015_00177.jpg,361,196,401,239,40,43,4
2015_00178.jpg,2,14,631,441,629,427,0
2015_00179.jpg,150,255,304,477,154,222,0
2015_00179.jpg,610,221,639,374,29,153,10
2015_00179.jpg,512,262,608,408,96,146,0
2015_00179.jpg,55,265,144,371,89,106,0
2015_00179.jpg,12,213,57,356,45,143,10
2015_00179.jpg,332,158,425,454,93,296,10
2015_00179.jpg,453,163,540,423,87,260,10
2015_00179.jpg,324,259,524,434,200,175,0
2015_00180.jpg,330,55,388,171,58,116,10
2015_00180.jpg,323,112,394,196,71,84,0
2015_00180.jpg,217,86,288,217,71,131,10
2015_00180.jpg,17,113,42,185,25,72,10
